product,stage,chara,result,unit
900x900干法原石,原材料采集阶段_能源,酸化效应,0.04476146621255528,kg SO2 eq
900x900干法原石,原材料采集阶段_能源,富营养化,0.002318554095453844,kg PO43- eq
900x900干法原石,原材料采集阶段_能源,不可再生资源消耗,1.417930516219509e-05,kg antimony eq
900x900干法原石,原材料采集阶段_能源,中国化石能源消耗,46.31456391943023,kg coal eq
900x900干法原石,生产制造阶段,全球变暖,24.90953329032773,kg CO2 eq
900x900干法原石,生产制造阶段,光化学烟雾,0.000418445569304221,kg C2H4 eq
900x900干法原石,生产制造阶段,酸化效应,0.01897372506810765,kg SO2 eq
900x900干法原石,生产制造阶段,富营养化,0.002126183104736516,kg PO43- eq
900x900干法原石,生产制造阶段,不可再生资源消耗,1.438458915650839e-05,kg antimony eq
900x900干法原石,生产制造阶段,中国化石能源消耗,17.31873691929337,kg coal eq
900x900干法原石,销售阶段,全球变暖,2.2742517828324,kg CO2 eq
900x900干法原石,销售阶段,光化学烟雾,0.00175172472961416,kg C2H4 eq
900x900干法原石,销售阶段,酸化效应,0.04642936165644001,kg SO2 eq
900x900干法原石,销售阶段,富营养化,0.008341546331496,kg PO43- eq
900x900干法原石,销售阶段,不可再生资源消耗,7.790689498284e-06,kg antimony eq
900x900干法原石,销售阶段,中国化石能源消耗,13.141870163772,kg coal eq
